grid,val,geometry,Day_Total,val_normalized,day_total_normalized,result
다사625185,0.010732303727045117,"POLYGON ((127.07706909151425 37.264647330744445, 127.07706405066054 37.26554870868605, 127.07819185192048 37.26555273222973, 127.07819687933322 37.26465135415758, 127.07706909151425 37.264647330744445))",1584.564563,0.0,0.03577434575681706,0.010732303727045117
다사594162,0.37189099803396447,"POLYGON ((127.04223323928767 37.24378564287786, 127.04222778735375 37.2446870197796, 127.04335527239596 37.24469137310139, 127.04336071090299 37.243789996058396, 127.04223323928767 37.24378564287786))",375.980164,0.5276349614395887,0.008488416754174744,0.37189099803396447
다사612173,0.003038742786267856,"POLYGON ((127.06247043942338 37.25377752346565, 127.06246522662326 37.254678901336874, 127.06359286366887 37.25468306291771, 127.06359806303534 37.25378168491145, 127.06247043942338 37.25377752346565))",448.6533607,0.0,0.010129142620892853,0.003038742786267856
다사626169,0.012677844266528699,"POLYGON ((127.07827728750912 37.25022928621526, 127.07827226367571 37.25113066649771, 127.07939985017552 37.251134677215816, 127.07940486057751 37.25023329680323, 127.07827728750912 37.25022928621526))",1871.812732,0.0,0.042259480888429,0.012677844266528699
다사632189,0.1471510149881597,"POLYGON ((127.08494382253754 37.26828078360486, 127.08493887488996 37.26918216190034, 127.08606673147406 37.269186110755655, 127.08607166567823 37.268284732332056, 127.08494382253754 37.26828078360486))",3460.247651,0.17673521850899743,0.07812120677287168,0.1471510149881597
다사602213,0.3110897311238627,"POLYGON ((127.050980144953 37.289790270651935, 127.05097478828732 37.29069164162415, 127.05210296081802 37.29069591613454, 127.05210830402622 37.289794545023696, 127.050980144953 37.289790270651935))",1362.163989,0.4312339331619537,0.03075325970165038,0.3110897311238627
다사595188,0.34039466346084263,"POLYGON ((127.04321923101324 37.26722575424987, 127.04321378620836 37.268127127698605, 127.04434162080166 37.26813147395061, 127.04434705216413 37.26723010036087, 127.04321923101324 37.26722575424987))",1570.770984,0.4710796915167095,0.03546293133048676,0.34039466346084263
다사627178,0.11811783979977888,"POLYGON ((127.0793597589296 37.25834571554367, 127.07935474651995 37.25924709471303, 127.0804824541525 37.259251095862, 127.08048745312536 37.25834971656282, 127.0793597589296 37.25834571554367))",236.3979235,0.166452442159383,0.005337100960702596,0.11811783979977888
다사594235,0.0182325935566452,"POLYGON ((127.04183460963749 37.30958579336386, 127.04182913995794 37.31048716017171, 127.04295760677842 37.310491523814626, 127.04296306298737 37.30959015686527, 127.04183460963749 37.30958579336386))",167.9422404,0.02442159383033419,0.003791592918037566,0.0182325935566452
다사591182,0.11690728476516753,"POLYGON ((127.03874093514712 37.26180002218048, 127.03873543804094 37.262701395891334, 127.0398631910158 37.2627057842641, 127.03986867468315 37.261804410410875, 127.03874093514712 37.26180002218048))",124.087253,0.16580976863753213,0.002801489062983441,0.11690728476516753
다사616178,0.008769522279253634,"POLYGON ((127.06695513763357 37.25830099548335, 127.06694997741978 37.25920237320173, 127.06807768256503 37.25920649249603, 127.06808282934216 37.25830511464398, 127.06695513763357 37.25830099548335))",232.0348168,0.010282776349614395,0.0052385961150785264,0.008769522279253634
다사590177,0.2507618726420117,"POLYGON ((127.03764074490142 37.257288753294176, 127.0376352355828 37.25819012755362, 127.03876292112494 37.258194525954465, 127.03876841700774 37.25729315155232, 127.03764074490142 37.257288753294176))",359.1928143,0.3547557840616966,0.00810941266274701,0.2507618726420117
다사601191,0.05080843078999675,"POLYGON ((127.04997006836639 37.26995579221796, 127.04996470349991 37.270857166092746, 127.05109257986604 37.27086144829866, 127.05109793128824 37.269960074284946, 127.04997006836639 37.26995579221796))",660.2170219,0.06619537275064268,0.01490556621515627,0.05080843078999675
다사610162,0.3395886889460154,"POLYGON ((127.06027281384694 37.243854005637495, 127.06026757674445 37.244755384757624, 127.06139506558829 37.24475956632301, 127.06140028926372 37.24385818706719, 127.06027281384694 37.243854005637495))",44293.32052,0.056555269922879174,1.0,0.3395886889460154
다사592173,0.1456973251160042,"POLYGON ((127.03991801670645 37.253692039510376, 127.03991253523554 37.254593414607875, 127.04104016752666 37.254597790960865, 127.04104563556416 37.25369641572136, 127.03991801670645 37.253692039510376))",455.9363388,0.2037275064267352,0.010293568724298478,0.1456973251160042
다사614184,0.13818084958068033,"POLYGON ((127.06466862891945 37.263700987569216, 127.0646634404467 37.26460236419013, 127.06579122576453 37.26460650577144, 127.06579640079698 37.263705129016174, 127.06466862891945 37.263700987569216))",209.6438488,0.1953727506426735,0.004733080436029591,0.13818084958068033
