grid,망포1동 행정복지센터,매탄3동 행정복지센터,매탄2동 행정복지센터,광교1동 행정복지센터,영통종합사회복지관,영통2동 행정복지센터,영통1동 행정복지센터,영통3동행정복지센터,광교2동 행정복지센터,광교종합사회복지관,망포2동 주민센터(행정복지센터),영통청소년문화의집(영통청소년청년센터),영통한국문화센터,영통2동문화센터,광교홍재도서관,수원시립영통도서관,수원체육문화센터,광교복합체육센터,영통체육문화센터,영통지구대,수원남부경찰서,영통2치안센터,영통공영주차장,영통우체국앞 노상공영주차장,영통동 동수원세무서앞 노상공영주차장,망포역 공영주차장,영통구보건소,경기남부근로자건강센터,수원여성인력개발센터(영통여성새로일하기센터),수원영통동우체국,수원황곡우체국,geometry
다사619186,3251.990875,2685.943992,2130.216279,3398.449812,1800.761221,2471.52755,864.7654209,1841.875816,2906.635066,4289.638931,3475.685177,1474.426859,1645.331595,2496.831814,4610.515377,978.2462217,929.5740989,1792.538692,1284.395017,1384.883454,1635.789086,1454.872035,1429.298978,1427.709738,1655.176125,2582.872523,1014.57996,2511.654102,1433.871148,2465.003655,870.2454856,"POLYGON ((127.07029724783418 37.26552434182244, 127.07029212610688 37.266425718835336, 127.07141993945298 37.26642980696919, 127.07142504773877 37.26552842982367, 127.07029724783418 37.26552434182244))"
다사595164,1755.875974,1141.43531,2686.396813,4909.027344,3004.956555,1104.192684,3954.937309,2689.131221,5620.386433,5922.541513,1053.09774,2396.838124,2934.55454,1068.135523,6329.208765,2783.037458,2583.144999,4633.239582,4190.130083,3169.499387,3032.734937,2386.625974,2780.740822,3039.710027,2740.919414,1199.375251,2570.022932,1422.424329,2888.434857,1189.469134,3994.417897,"POLYGON ((127.04334983364684 37.24559275000616, 127.04334439465562 37.24649412677271, 127.04447190679548 37.24649846964162, 127.04447733235862 37.245597092734144, 127.04334983364684 37.24559275000616))"
다사595185,3372.111599,963.591627,651.5119297,2816.67534,3373.701425,2283.458139,3267.752158,3171.45521,3813.747384,3824.834539,2989.616846,2661.976017,3225.98497,2273.278372,4232.709964,2646.057471,2384.584614,3017.393961,3673.152952,3227.54601,1210.711402,2635.968717,2966.6945,3163.150344,3087.55247,2490.933858,2449.829985,2627.001306,3054.486842,2366.017979,3271.535355,"POLYGON ((127.04323556397382 37.264521633074125, 127.04323011989598 37.265423006937624, 127.04435791416377 37.26542735276664, 127.04436334480097 37.264525978762144, 127.04323556397382 37.264521633074125))"
다사604152,655.828286,2531.812241,3910.402649,6124.512925,2668.514246,1315.238029,4167.96052,2365.483793,6471.165,7146.294278,451.1073409,2375.24644,2682.463201,1302.781794,7542.532892,2906.23888,2824.011016,5391.841052,4247.501461,3028.062423,4091.065553,2382.339933,2664.161386,2886.239414,2510.776273,1155.061406,2761.410172,1206.64561,2750.135971,1287.820014,4224.972738,"POLYGON ((127.05356112989215 37.234814901048125, 127.05355581459399 37.23571628072869, 127.05468316778712 37.2357205253253, 127.05468846966424 37.234819145506975, 127.05356112989215 37.234814901048125))"
다사611215,6025.0771,4298.837649,2750.08913,1283.952434,4808.866793,5027.376673,3317.979454,4842.182819,746.2419055,1570.529437,5987.674417,4423.664062,4654.62139,5038.599407,1759.846519,3977.059042,3870.090051,1339.041704,3715.2107,4376.480018,2314.432067,4400.052176,4435.368945,4432.555412,4659.406974,5201.661679,3965.849277,5215.688948,4443.309477,5063.987948,3258.794539,"POLYGON ((127.06112311379553 37.29163109719436, 127.06111787778144 37.29253246912532, 127.06224607934836 37.29253664713349, 127.06225130190367 37.29163527506702, 127.06112311379553 37.29163109719436))"
다사614161,743.1243428,2437.670959,3360.811159,5429.113989,1325.568429,895.2153515,2876.050897,1019.617784,5425.45827,6430.380648,1333.740655,1099.713487,1336.878845,923.8867516,6804.22515,1640.045553,1621.339374,4316.300792,2917.446014,1686.924204,3338.700423,1113.692105,1335.922697,1545.889836,1168.456953,736.7076955,1540.481786,518.497091,1414.88362,796.0076836,2936.94672,"POLYGON ((127.06478790007021 37.24296928715035, 127.06478271690673 37.24387066694932, 127.06591019324999 37.24387480544103, 127.06591536298696 37.24297342550777, 127.06478790007021 37.24296928715035))"
다사626166,1960.063357,3303.994049,3715.872947,5452.590929,321.003291,2004.010979,2038.224929,473.2684396,4964.543318,6384.791569,2634.237772,975.7822169,483.2048489,2039.881009,6718.223491,1191.435025,1384.831815,3866.151503,1905.426799,766.2633944,3465.053254,1002.140412,738.8986543,694.0603793,559.4531869,1925.817622,1291.937659,1711.485424,698.470331,1918.485585,2106.841558,"POLYGON ((127.07829235766762 37.247525144539104, 127.07828733450508 37.248426525235956, 127.07941488071245 37.24843053556366, 127.0794198904454 37.24752915473668, 127.07829235766762 37.247525144539104))"
다사588218,6694.161476,4309.416064,2919.976898,1149.779831,6128.134878,5599.644187,5076.965381,6045.901628,3061.355422,1087.896092,6364.098595,5542.078244,5963.928692,5595.539952,1380.954853,5258.813606,5059.485071,3360.711785,5529.105629,5792.589302,2987.50734,5514.741542,5704.053892,5797.635102,5898.025356,5804.664534,5154.110412,5905.621593,5751.985158,5670.951231,5034.52433,"POLYGON ((127.0351582154235 37.294236144059674, 127.03515266911981 37.29513751236272, 127.03628090555303 37.295141938125795, 127.03628643839639 37.29424056967922, 127.0351582154235 37.294236144059674))"
다사597229,7536.607823,5369.588889,3837.429811,1610.247265,6617.070237,6465.778801,5256.821521,6601.302437,2560.47267,588.4214502,7330.408998,6135.542421,6456.24257,6468.465698,224.1031506,5753.76413,5602.205636,3305.15492,5671.600447,6216.790407,3682.492922,6109.649329,6215.808449,6253.477782,6430.791792,6661.399189,5699.882994,6724.264754,6241.042245,6522.974643,5201.254106,"POLYGON ((127.04525254094654 37.304190645296316, 127.04524711312881 37.30509201335745, 127.04637549986155 37.30509634387714, 127.04638091421225 37.304194975675564, 127.04525254094654 37.304190645296316))"
다사631218,6666.061761,5623.370992,4269.98136,3307.054648,4952.579153,5862.993331,3188.15285,5111.404899,1288.778346,3382.702263,6871.796113,4853.500656,4834.971242,5885.097875,3396.960007,4318.079917,4335.912365,1884.336673,3384.887305,4477.948279,3675.58766,4837.978298,4700.376951,4585.847984,4919.36395,5990.03758,4411.903068,5929.208775,4661.11464,5866.587743,3119.703617,"POLYGON ((127.08367201827566 37.29441673488642, 127.08366705077586 37.29531810904677, 127.08479529725953 37.29532207237298, 127.08480025129853 37.29442069808409, 127.08367201827566 37.29441673488642))"
다사610214,5924.102536,4168.176001,2615.353787,1172.207969,4742.942032,4918.684203,3284.473009,4768.016312,852.7597722,1543.058007,5873.886724,4341.748072,4587.254477,4929.279187,1762.628953,3904.011381,3789.728428,1319.5344,3690.56137,4316.163874,2190.325072,4317.7698,4363.923894,4368.418273,4586.876904,5094.982618,3886.023854,5113.121921,4374.877345,4956.980586,3226.816567,"POLYGON ((127.06000017515967 37.29072553663541, 127.05999492592049 37.291626908568745, 127.06112311379553 37.29163109719436, 127.06112834957656 37.29072972512515, 127.06000017515967 37.29072553663541))"
다사609171,1625.160893,1531.322064,2242.884585,4331.081188,1578.097573,671.8058222,2412.880427,1302.540988,4507.163159,5340.28648,1680.494864,882.6000044,1469.136074,695.0904893,5721.158475,1217.279315,1023.758795,3426.752295,2626.169591,1640.458154,2242.903188,865.9785424,1267.457408,1521.852866,1287.212964,810.3807577,1004.942768,811.0077477,1375.220438,679.5136018,2457.359265,"POLYGON ((127.05909807548271 37.25196221935562, 127.05909282284932 37.25286359709605, 127.06022043233034 37.25286779062075, 127.06022567153131 37.251966412744245, 127.05909807548271 37.25196221935562))"
다사602192,3806.967376,1829.929316,401.01532,2128.579302,3235.072251,2730.850036,2627.301194,3118.226835,2833.436804,3147.07185,3614.087738,2605.424482,3072.634476,2733.414853,3538.811566,2389.018027,2161.264291,2035.59399,3073.404715,2960.258278,235.0898143,2577.890905,2806.753633,2938.151319,2983.846953,2927.410486,2250.566926,2998.804697,2868.78882,2789.29918,2613.552214,"POLYGON ((127.05109257986604 37.27086144829866, 127.05108722820562 37.271762822174125, 127.05221511825486 37.27176709377374, 127.0522204564704 37.270865719759676, 127.05109257986604 37.27086144829866))"
